"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
,0412,Prawn Fishing,0311p,Marine fishing,F7.0089,Yes,4,A,04,041,0412,0412,Prawn Fishing, Marine fishing ,0311,p,ANZSIC-0412,ANZSIC-041,ISIC-0311,Yes,1,7,1,Marine fishing,,,,,ANZSIC-091,091
,0413,Line Fishing,0311p,Marine fishing,F7.0090,Yes,4,A,04,041,0413,0413,Line Fishing, Marine fishing ,0311,p,ANZSIC-0413,ANZSIC-041,ISIC-0311,Yes,1,7,1,Marine fishing,,,,,ANZSIC-0911,0911
,0414,"Fish Trawling, Seining and Netting",0311p,Marine fishing,F7.0091,Yes,4,A,04,041,0414,0414,"Fish Trawling, Seining and Netting", Marine fishing ,0311,p,ANZSIC-0414,ANZSIC-041,ISIC-0311,Yes,1,7,1,Marine fishing,,,,,ANZSIC-0919,0919
,0419,Other Fishing,0311p,Marine fishing,F7.0092,Yes,4,A,04,041,0419,0419,Other Fishing, Marine fishing ,0311,p,ANZSIC-0419,ANZSIC-041,ISIC-0311,Yes,2,7,2,Marine fishing,,,,,ANZSIC-099,099
,,,0312p,Freshwater fishing,F7.0093,No,4,A,04,041,0419,0419,Other Fishing, Freshwater fishing ,0312,p,ANZSIC-0419,ANZSIC-041,ISIC-0312,Yes,2,2,2,Freshwater fishing,,,,,ANZSIC-0990,0990
042,Hunting and Trapping,,,,F7.0094,Yes,3,A,04,042,..,042,Hunting and Trapping, .. ,..,..,ANZSIC-042,ANZSIC-04,..,No,..,..,1,..,,,,,ANZSIC-10,10
,0420,Hunting and Trapping,0170,"Hunting, trapping and related service activities",F7.0095,Yes,4,A,04,042,0420,0420,Hunting and Trapping," Hunting, trapping and related service activities ",0170,..,ANZSIC-0420,ANZSIC-042,ISIC-0170,Yes,1,1,1,"Hunting, trapping and related service activities",,,,,ANZSIC-101,101
05,"Agriculture, Forestry and Fishing Support Services",,,,F7.0096,Yes,2,A,05,..,..,05,"Agriculture, Forestry and Fishing Support Services", .. ,..,..,ANZSIC-05,ANZSIC-A,..,No,..,..,1,..,,,,,ANZSIC-1011,1011
051,Forestry Support Services,Support Services,,,F7.0097,Yes,3,A,05,051,..,051,Forestry Support Services, .. ,..,..,ANZSIC-051,ANZSIC-05,..,No,..,..,1,..,,,,,ANZSIC-1012,1012
,0510,Forestry Support Services,0210p,Silviculture and other forestry activities,F7.0098,Yes,4,A,05,051,0510,0510,Forestry Support Services, Silviculture and other forestry activities ,0210,p,ANZSIC-0510,ANZSIC-051,ISIC-0210,Yes,2,2,2,Silviculture and other forestry activities,,,,,ANZSIC-109,109
,,,0240p,Support services to forestry,F7.0099,No,4,A,05,051,0510,0510,Forestry Support Services, Support services to forestry ,0240,p,ANZSIC-0510,ANZSIC-051,ISIC-0240,Yes,2,3,2,Support services to forestry,,,,,ANZSIC-1090,1090
052,Agriculture and Fishing Support Services,,,,F7.0100,Yes,3,A,05,052,..,052,Agriculture and Fishing Support Services, .. ,..,..,ANZSIC-052,ANZSIC-05,..,No,..,..,1,..,,,,,ANZSIC-C,C
,0521,Cotton Ginning,0163p,Post-harvest crop activities,F7.0101,Yes,4,A,05,052,0521,0521,Cotton Ginning, Post-harvest crop activities ,0163,p,ANZSIC-0521,ANZSIC-052,ISIC-0163,Yes,1,2,1,Post-harvest crop activities,,,,,ANZSIC-11,11
,0522,Shearing Services,0162p,Support activities for animal production,F7.0102,Yes,4,A,05,052,0522,0522,Shearing Services, Support activities for animal production ,0162,p,ANZSIC-0522,ANZSIC-052,ISIC-0162,Yes,1,5,1,Support activities for animal production,,,,,ANZSIC-111,111
,0529,Other Agriculture and Fishing Support Services,0161,Support activities for crop production,F7.0103,Yes,4,A,05,052,0529,0529,Other Agriculture and Fishing Support Services, Support activities for crop production ,0161,..,ANZSIC-0529,ANZSIC-052,ISIC-0161,Yes,6,1,6,Support activities for crop production,,,,,ANZSIC-1111,1111
,,,0162p,Support activities for animal production,F7.0104,No,4,A,05,052,0529,0529,Other Agriculture and Fishing Support Services, Support activities for animal production ,0162,p,ANZSIC-0529,ANZSIC-052,ISIC-0162,Yes,6,5,6,Support activities for animal production,,,,,ANZSIC-1112,1112
,,,0163p,Post-harvest crop activities,F7.0105,No,4,A,05,052,0529,0529,Other Agriculture and Fishing Support Services, Post-harvest crop activities ,0163,p,ANZSIC-0529,ANZSIC-052,ISIC-0163,Yes,6,2,6,Post-harvest crop activities,,,,,ANZSIC-1113,1113
,,,0164,Seed processing for propagation,F7.0106,No,4,A,05,052,0529,0529,Other Agriculture and Fishing Support Services, Seed processing for propagation ,0164,..,ANZSIC-0529,ANZSIC-052,ISIC-0164,Yes,6,1,6,Seed processing for propagation,,,,,ANZSIC-112,112
,,,0311p,Marine fishing,F7.0107,No,4,A,05,052,0529,0529,Other Agriculture and Fishing Support Services, Marine fishing ,0311,p,ANZSIC-0529,ANZSIC-052,ISIC-0311,Yes,6,7,6,Marine fishing,,,,,ANZSIC-1120,1120
,,,0312p,Freshwater fishing,F7.0108,No,4,A,05,052,0529,0529,Other Agriculture and Fishing Support Services, Freshwater fishing ,0312,p,ANZSIC-0529,ANZSIC-052,ISIC-0312,Yes,6,2,6,Freshwater fishing,,,,,ANZSIC-113,113
,,,,,F7.0109,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,ANZSIC-1131,1131
B,Mining,,,,F7.0110,Yes,1,B,..,..,..,B,Mining, .. ,..,..,ANZSIC-B,ANZSIC,..,No,..,..,1,..,,,,,ANZSIC-1132,1132
06,Coal Mining,,,,F7.0111,Yes,2,B,06,..,..,06,Coal Mining, .. ,..,..,ANZSIC-06,ANZSIC-B,..,No,..,..,1,..,,,,,ANZSIC-1133,1133
060,Coal Mining,,,,F7.0112,Yes,3,B,06,060,..,060,Coal Mining, .. ,..,..,ANZSIC-060,ANZSIC-06,..,No,..,..,1,..,,,,,ANZSIC-114,114
,0600,Coal Mining,0510p,Mining of hard coal,F7.0113,Yes,4,B,06,060,0600,0600,Coal Mining, Mining of hard coal ,0510,p,ANZSIC-0600,ANZSIC-060,ISIC-0510,Yes,3,2,3,Mining of hard coal,,,,,ANZSIC-1140,1140
,,,0520,Mining of lignite,F7.0114,No,4,B,06,060,0600,0600,Coal Mining, Mining of lignite ,0520,..,ANZSIC-0600,ANZSIC-060,ISIC-0520,Yes,3,1,3,Mining of lignite,,,,,ANZSIC-115,115
,,,0892,Extraction of peat,F7.0115,No,4,B,06,060,0600,0600,Coal Mining, Extraction of peat ,0892,..,ANZSIC-0600,ANZSIC-060,ISIC-0892,Yes,3,1,3,Extraction of peat,,,,,ANZSIC-1150,1150
07,Oil and Gas Extraction ,,,,F7.0116,Yes,2,B,07,..,..,07,Oil and Gas Extraction , .. ,..,..,ANZSIC-07,ANZSIC-B,..,No,..,..,1,..,,,,,ANZSIC-116,116
070,Oil and Gas Extraction ,,,,F7.0117,Yes,3,B,07,070,..,070,Oil and Gas Extraction , .. ,..,..,ANZSIC-070,ANZSIC-07,..,No,..,..,1,..,,,,,ANZSIC-1161,1161
,0700,Oil and Gas Extraction,0610,Extraction of crude petroleum,F7.0118,Yes,4,B,07,070,0700,0700,Oil and Gas Extraction, Extraction of crude petroleum ,0610,..,ANZSIC-0700,ANZSIC-070,ISIC-0610,Yes,3,1,3,Extraction of crude petroleum,,,,,ANZSIC-1162,1162
,,,0620,Extraction of natural gas,F7.0119,No,4,B,07,070,0700,0700,Oil and Gas Extraction, Extraction of natural gas ,0620,..,ANZSIC-0700,ANZSIC-070,ISIC-0620,Yes,3,1,3,Extraction of natural gas,,,,,ANZSIC-117,117
,,,0910p,Support activities for petroleum and natural gas extraction,F7.0120,No,4,B,07,070,0700,0700,Oil and Gas Extraction, Support activities for petroleum and natural gas extraction ,0910,p,ANZSIC-0700,ANZSIC-070,ISIC-0910,Yes,3,5,3,Support activities for petroleum and natural gas extraction,,,,,ANZSIC-1171,1171
08,Metal Ore Mining,,,,F7.0121,Yes,2,B,08,..,..,08,Metal Ore Mining, .. ,..,..,ANZSIC-08,ANZSIC-B,..,No,..,..,1,..,,,,,ANZSIC-1172,1172
080,Metal Ore Mining,,,,F7.0122,Yes,3,B,08,080,..,080,Metal Ore Mining, .. ,..,..,ANZSIC-080,ANZSIC-08,..,No,..,..,1,..,,,,,ANZSIC-1173,1173
,0801,Iron Ore Mining,0710,Mining of iron ores,F7.0123,Yes,4,B,08,080,0801,0801,Iron Ore Mining, Mining of iron ores ,0710,..,ANZSIC-0801,ANZSIC-080,ISIC-0710,Yes,1,1,1,Mining of iron ores,,,,,ANZSIC-1174,1174
,0802,Bauxite Mining,0729p,Mining of other non-ferrous metal ores,F7.0124,Yes,4,B,08,080,0802,0802,Bauxite Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0802,ANZSIC-080,ISIC-0729,Yes,1,7,1,Mining of other non-ferrous metal ores,,,,,ANZSIC-118,118
,0803,Copper Ore Mining,0729p,Mining of other non-ferrous metal ores,F7.0125,Yes,4,B,08,080,0803,0803,Copper Ore Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0803,ANZSIC-080,ISIC-0729,Yes,1,7,1,Mining of other non-ferrous metal ores,,,,,ANZSIC-1181,1181
,0804,Gold Ore Mining,0729p,Mining of other non-ferrous metal ores,F7.0126,Yes,4,B,08,080,0804,0804,Gold Ore Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0804,ANZSIC-080,ISIC-0729,Yes,1,7,1,Mining of other non-ferrous metal ores,,,,,ANZSIC-1182,1182
,0805,Mineral Sand Mining,0729p,Mining of other non-ferrous metal ores,F7.0127,Yes,4,B,08,080,0805,0805,Mineral Sand Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0805,ANZSIC-080,ISIC-0729,Yes,1,7,1,Mining of other non-ferrous metal ores,,,,,ANZSIC-119,119
,0806,Nickel Ore Mining,0729p,Mining of other non-ferrous metal ores,F7.0128,Yes,4,B,08,080,0806,0806,Nickel Ore Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0806,ANZSIC-080,ISIC-0729,Yes,1,7,1,Mining of other non-ferrous metal ores,,,,,ANZSIC-1191,1191
,0807,Silver-Lead-Zinc Ore Mining,0729p,Mining of other non-ferrous metal ores,F7.0129,Yes,4,B,08,080,0807,0807,Silver-Lead-Zinc Ore Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0807,ANZSIC-080,ISIC-0729,Yes,1,7,1,Mining of other non-ferrous metal ores,,,,,ANZSIC-1192,1192
,0809,Other Metal Ore Mining,0721,Mining of uranium and thorium ores,F7.0130,Yes,4,B,08,080,0809,0809,Other Metal Ore Mining, Mining of uranium and thorium ores ,0721,..,ANZSIC-0809,ANZSIC-080,ISIC-0721,Yes,2,1,2,Mining of uranium and thorium ores,,,,,ANZSIC-1199,1199
,,,0729p,Mining of other non-ferrous metal ores,F7.0131,No,4,B,08,080,0809,0809,Other Metal Ore Mining, Mining of other non-ferrous metal ores ,0729,p,ANZSIC-0809,ANZSIC-080,ISIC-0729,Yes,2,7,2,Mining of other non-ferrous metal ores,,,,,ANZSIC-12,12
09,Non-Metallic Mineral Mining and Quarrying,,,,F7.0132,Yes,2,B,09,..,..,09,Non-Metallic Mineral Mining and Quarrying, .. ,..,..,ANZSIC-09,ANZSIC-B,..,No,..,..,1,..,,,,,ANZSIC-121,121
091,Construction Material Mining,,,,F7.0133,Yes,3,B,09,091,..,091,Construction Material Mining, .. ,..,..,ANZSIC-091,ANZSIC-09,..,No,..,..,1,..,,,,,ANZSIC-1211,1211
,0911,Gravel and Sand Quarrying,0810p,"Quarrying of stone, sand and clay",F7.0134,Yes,4,B,09,091,0911,0911,Gravel and Sand Quarrying," Quarrying of stone, sand and clay ",0810,p,ANZSIC-0911,ANZSIC-091,ISIC-0810,Yes,1,3,1,"Quarrying of stone, sand and clay",,,,,ANZSIC-1212,1212
,0919,Other Construction Material Mining,0810p,"Quarrying of stone, sand and clay",F7.0135,Yes,4,B,09,091,0919,0919,Other Construction Material Mining," Quarrying of stone, sand and clay ",0810,p,ANZSIC-0919,ANZSIC-091,ISIC-0810,Yes,1,3,1,"Quarrying of stone, sand and clay",,,,,ANZSIC-1213,1213
099,Other Non-Metallic Mineral Mining and Quarrying,,,,F7.0136,Yes,3,B,09,099,..,099,Other Non-Metallic Mineral Mining and Quarrying, .. ,..,..,ANZSIC-099,ANZSIC-09,..,No,..,..,1,..,,,,,ANZSIC-1214,1214
,0990,Other Non-Metallic Mineral Mining and Quarrying,0810p,"Quarrying of stone, sand and clay",F7.0137,Yes,4,B,09,099,0990,0990,Other Non-Metallic Mineral Mining and Quarrying," Quarrying of stone, sand and clay ",0810,p,ANZSIC-0990,ANZSIC-099,ISIC-0810,Yes,4,3,4,"Quarrying of stone, sand and clay",,,,,ANZSIC-122,122
,,,0891,Mining of chemical and fertilizer minerals,F7.0138,No,4,B,09,099,0990,0990,Other Non-Metallic Mineral Mining and Quarrying, Mining of chemical and fertilizer minerals ,0891,..,ANZSIC-0990,ANZSIC-099,ISIC-0891,Yes,4,1,4,Mining of chemical and fertilizer minerals,,,,,ANZSIC-1220,1220
,,,0893,Extraction of salt,F7.0139,No,4,B,09,099,0990,0990,Other Non-Metallic Mineral Mining and Quarrying, Extraction of salt ,0893,..,ANZSIC-0990,ANZSIC-099,ISIC-0893,Yes,4,1,4,Extraction of salt,,,,,ANZSIC-13,13
,,,0899,Other mining and quarrying n.e.c.,F7.0140,No,4,B,09,099,0990,0990,Other Non-Metallic Mineral Mining and Quarrying, Other mining and quarrying n.e.c. ,0899,..,ANZSIC-0990,ANZSIC-099,ISIC-0899,Yes,4,1,4,Other mining and quarrying n.e.c.,,,,,ANZSIC-131,131
10,Exploration and Other Mining Support Services,,,,F7.0141,Yes,2,B,10,..,..,10,Exploration and Other Mining Support Services, .. ,..,..,ANZSIC-10,ANZSIC-B,..,No,..,..,1,..,,,,,ANZSIC-1311,1311
101,Exploration,,,,F7.0142,Yes,3,B,10,101,..,101,Exploration, .. ,..,..,ANZSIC-101,ANZSIC-10,..,No,..,..,1,..,,,,,ANZSIC-1312,1312
,1011,Petroleum Exploration,0910p,Support activities for petroleum and natural gas extraction,F7.0143,Yes,4,B,10,101,1011,1011,Petroleum Exploration, Support activities for petroleum and natural gas extraction ,0910,p,ANZSIC-1011,ANZSIC-101,ISIC-0910,Yes,1,5,1,Support activities for petroleum and natural gas extraction,,,,,ANZSIC-1313,1313
,1012,Mineral Exploration,0990p,Support activities for other mining and quarrying,F7.0144,Yes,4,B,10,101,1012,1012,Mineral Exploration, Support activities for other mining and quarrying ,0990,p,ANZSIC-1012,ANZSIC-101,ISIC-0990,Yes,1,3,1,Support activities for other mining and quarrying,,,,,ANZSIC-132,132
109,Other Mining Support Services,,,,F7.0145,Yes,3,B,10,109,..,109,Other Mining Support Services, .. ,..,..,ANZSIC-109,ANZSIC-10,..,No,..,..,1,..,,,,,ANZSIC-1320,1320
,1090,Other Mining Support Services,0910p,Support activities for petroleum and natural gas extraction,F7.0146,Yes,4,B,10,109,1090,1090,Other Mining Support Services, Support activities for petroleum and natural gas extraction ,0910,p,ANZSIC-1090,ANZSIC-109,ISIC-0910,Yes,2,5,2,Support activities for petroleum and natural gas extraction,,,,,ANZSIC-133,133
,,,0990p,Support activities for other mining and quarrying,F7.0147,No,4,B,10,109,1090,1090,Other Mining Support Services, Support activities for other mining and quarrying ,0990,p,ANZSIC-1090,ANZSIC-109,ISIC-0990,Yes,2,3,2,Support activities for other mining and quarrying,,,,,ANZSIC-1331,1331
,,,,,F7.0148,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,ANZSIC-1332,1332
C,Manufacturing,,,,F7.0149,Yes,1,C,..,..,..,C,Manufacturing, .. ,..,..,ANZSIC-C,ANZSIC,..,No,..,..,1,..,,,,,ANZSIC-1333,1333
11,Food Product Manufacturing,,,,F7.0150,Yes,2,C,11,..,..,11,Food Product Manufacturing, .. ,..,..,ANZSIC-11,ANZSIC-C,..,No,..,..,1,..,,,,,ANZSIC-1334,1334
111,Meat and Meat Product Manufacturing,,,,F7.0151,Yes,3,C,11,111,..,111,Meat and Meat Product Manufacturing, .. ,..,..,ANZSIC-111,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-134,134
,1111,Meat Processing,1010p,Processing and preserving of meat,F7.0152,Yes,4,C,11,111,1111,1111,Meat Processing, Processing and preserving of meat ,1010,p,ANZSIC-1111,ANZSIC-111,ISIC-1010,Yes,2,3,2,Processing and preserving of meat,,,,,ANZSIC-1340,1340
,,,1075p,Manufacture of prepared meals and dishes,F7.0153,No,4,C,11,111,1111,1111,Meat Processing, Manufacture of prepared meals and dishes ,1075,p,ANZSIC-1111,ANZSIC-111,ISIC-1075,Yes,2,7,2,Manufacture of prepared meals and dishes,,,,,ANZSIC-135,135
,1112,Poultry Processing,1010p,Processing and preserving of meat,F7.0154,Yes,4,C,11,111,1112,1112,Poultry Processing, Processing and preserving of meat ,1010,p,ANZSIC-1112,ANZSIC-111,ISIC-1010,Yes,2,3,2,Processing and preserving of meat,,,,,ANZSIC-1351,1351
,,,1075p,Manufacture of prepared meals and dishes,F7.0155,No,4,C,11,111,1112,1112,Poultry Processing, Manufacture of prepared meals and dishes ,1075,p,ANZSIC-1112,ANZSIC-111,ISIC-1075,Yes,2,7,2,Manufacture of prepared meals and dishes,,,,,ANZSIC-1352,1352
,1113,Cured Meat and Smallgoods Manufacturing,1010p,Processing and preserving of meat,F7.0156,Yes,4,C,11,111,1113,1113,Cured Meat and Smallgoods Manufacturing, Processing and preserving of meat ,1010,p,ANZSIC-1113,ANZSIC-111,ISIC-1010,Yes,2,3,2,Processing and preserving of meat,,,,,ANZSIC-14,14
,,,1075p,Manufacture of prepared meals and dishes,F7.0157,No,4,C,11,111,1113,1113,Cured Meat and Smallgoods Manufacturing, Manufacture of prepared meals and dishes ,1075,p,ANZSIC-1113,ANZSIC-111,ISIC-1075,Yes,2,7,2,Manufacture of prepared meals and dishes,,,,,ANZSIC-141,141
112,Seafood Processing,,,,F7.0158,Yes,3,C,11,112,..,112,Seafood Processing, .. ,..,..,ANZSIC-112,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-1411,1411
,1120,Seafood Processing,0311p,Marine fishing,F7.0159,Yes,4,C,11,112,1120,1120,Seafood Processing, Marine fishing ,0311,p,ANZSIC-1120,ANZSIC-112,ISIC-0311,Yes,3,7,3,Marine fishing,,,,,ANZSIC-1412,1412
,,,1020p,"Processing and preserving of fish, crustaceans and molluscs",F7.0160,No,4,C,11,112,1120,1120,Seafood Processing," Processing and preserving of fish, crustaceans and molluscs ",1020,p,ANZSIC-1120,ANZSIC-112,ISIC-1020,Yes,3,1,3,"Processing and preserving of fish, crustaceans and molluscs",Why P?,,,,ANZSIC-1413,1413
,,,1075p,Manufacture of prepared meals and dishes,F7.0161,No,4,C,11,112,1120,1120,Seafood Processing, Manufacture of prepared meals and dishes ,1075,p,ANZSIC-1120,ANZSIC-112,ISIC-1075,Yes,3,7,3,Manufacture of prepared meals and dishes,,,,,ANZSIC-149,149
113,Dairy Product Manufacturing,,,,F7.0162,Yes,3,C,11,113,..,113,Dairy Product Manufacturing, .. ,..,..,ANZSIC-113,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-1491,1491
,1131,Milk and Cream Processing,1050p,Manufacture of dairy products,F7.0163,Yes,4,C,11,113,1131,1131,Milk and Cream Processing, Manufacture of dairy products ,1050,p,ANZSIC-1131,ANZSIC-113,ISIC-1050,Yes,1,3,1,Manufacture of dairy products,,,,,ANZSIC-1492,1492
,1132,Ice Cream Manufacturing,1050p,Manufacture of dairy products,F7.0164,Yes,4,C,11,113,1132,1132,Ice Cream Manufacturing, Manufacture of dairy products ,1050,p,ANZSIC-1132,ANZSIC-113,ISIC-1050,Yes,1,3,1,Manufacture of dairy products,,,,,ANZSIC-1493,1493
,1133,Cheese and Other Dairy Product Manufacturing,1050p,Manufacture of dairy products,F7.0165,Yes,4,C,11,113,1133,1133,Cheese and Other Dairy Product Manufacturing, Manufacture of dairy products ,1050,p,ANZSIC-1133,ANZSIC-113,ISIC-1050,Yes,2,3,2,Manufacture of dairy products,,,,,ANZSIC-1494,1494
,,,1079p,Manufacture of other food products n.e.c.,F7.0166,No,4,C,11,113,1133,1133,Cheese and Other Dairy Product Manufacturing, Manufacture of other food products n.e.c. ,1079,p,ANZSIC-1133,ANZSIC-113,ISIC-1079,Yes,2,7,2,Manufacture of other food products n.e.c.,,,,,ANZSIC-1499,1499
114,Fruit and Vegetable Processing,,,,F7.0167,Yes,3,C,11,114,..,114,Fruit and Vegetable Processing, .. ,..,..,ANZSIC-114,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-15,15
,1140,Fruit and Vegetable Processing,1030p,Processing and preserving of fruit and vegetables,F7.0168,Yes,4,C,11,114,1140,1140,Fruit and Vegetable Processing, Processing and preserving of fruit and vegetables ,1030,p,ANZSIC-1140,ANZSIC-114,ISIC-1030,Yes,3,4,3,Processing and preserving of fruit and vegetables,,,,,ANZSIC-151,151
,,,1075p,Manufacture of prepared meals and dishes,F7.0169,No,4,C,11,114,1140,1140,Fruit and Vegetable Processing, Manufacture of prepared meals and dishes ,1075,p,ANZSIC-1140,ANZSIC-114,ISIC-1075,Yes,3,7,3,Manufacture of prepared meals and dishes,,,,,ANZSIC-1510,1510
,,,1079p,Manufacture of other food products n.e.c.,F7.0170,No,4,C,11,114,1140,1140,Fruit and Vegetable Processing, Manufacture of other food products n.e.c. ,1079,p,ANZSIC-1140,ANZSIC-114,ISIC-1079,Yes,3,7,3,Manufacture of other food products n.e.c.,,,,,ANZSIC-152,152
115,Oil and Fat Manufacturing,,,,F7.0171,Yes,3,C,11,115,..,115,Oil and Fat Manufacturing, .. ,..,..,ANZSIC-115,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-1521,1521
,1150,Oil and Fat Manufacturing,1040,Manufacture of vegetable and animal oils and fats,F7.0172,Yes,4,C,11,115,1150,1150,Oil and Fat Manufacturing, Manufacture of vegetable and animal oils and fats ,1040,..,ANZSIC-1150,ANZSIC-115,ISIC-1040,Yes,3,1,3,Manufacture of vegetable and animal oils and fats,,,,,ANZSIC-1522,1522
,,,1062p,Manufacture of starches and starch products,F7.0173,No,4,C,11,115,1150,1150,Oil and Fat Manufacturing, Manufacture of starches and starch products ,1062,p,ANZSIC-1150,ANZSIC-115,ISIC-1062,Yes,3,2,3,Manufacture of starches and starch products,,,,,ANZSIC-1523,1523
,,,1073p,"Manufacture of cocoa, chocolate and sugar confectionery",F7.0174,No,4,C,11,115,1150,1150,Oil and Fat Manufacturing," Manufacture of cocoa, chocolate and sugar confectionery ",1073,p,ANZSIC-1150,ANZSIC-115,ISIC-1073,Yes,3,2,3,"Manufacture of cocoa, chocolate and sugar confectionery",,,,,ANZSIC-1524,1524
116,Grain Mill and Cereal Product Manufacturing,,,,F7.0175,Yes,3,C,11,116,..,116,Grain Mill and Cereal Product Manufacturing, .. ,..,..,ANZSIC-116,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-1529,1529
,1161,Grain Mill Product Manufacturing,1061p,Manufacture of grain mill products,F7.0176,Yes,4,C,11,116,1161,1161,Grain Mill Product Manufacturing, Manufacture of grain mill products ,1061,p,ANZSIC-1161,ANZSIC-116,ISIC-1061,Yes,5,3,5,Manufacture of grain mill products,,,,,ANZSIC-16,16
,,,1062p,Manufacture of starches and starch products,F7.0177,No,4,C,11,116,1161,1161,Grain Mill Product Manufacturing, Manufacture of starches and starch products ,1062,p,ANZSIC-1161,ANZSIC-116,ISIC-1062,Yes,5,2,5,Manufacture of starches and starch products,,,,,ANZSIC-161,161
,,,1075p,Manufacture of prepared meals and dishes,F7.0178,No,4,C,11,116,1161,1161,Grain Mill Product Manufacturing, Manufacture of prepared meals and dishes ,1075,p,ANZSIC-1161,ANZSIC-116,ISIC-1075,Yes,5,7,5,Manufacture of prepared meals and dishes,,,,,ANZSIC-1611,1611
,,,1079p,Manufacture of other food products n.e.c.,F7.0179,No,4,C,11,116,1161,1161,Grain Mill Product Manufacturing, Manufacture of other food products n.e.c. ,1079,p,ANZSIC-1161,ANZSIC-116,ISIC-1079,Yes,5,7,5,Manufacture of other food products n.e.c.,,,,,ANZSIC-1612,1612
,,,1103p,Manufacture of malt liquors and malt,F7.0180,No,4,C,11,116,1161,1161,Grain Mill Product Manufacturing, Manufacture of malt liquors and malt ,1103,p,ANZSIC-1161,ANZSIC-116,ISIC-1103,Yes,5,2,5,Manufacture of malt liquors and malt,,,,,ANZSIC-162,162
,1162,"Cereal, Pasta and Baking Mix Manufacturing",1061p,Manufacture of grain mill products,F7.0181,Yes,4,C,11,116,1162,1162,"Cereal, Pasta and Baking Mix Manufacturing", Manufacture of grain mill products ,1061,p,ANZSIC-1162,ANZSIC-116,ISIC-1061,Yes,2,3,2,Manufacture of grain mill products,,,,,ANZSIC-1620,1620
,,,1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",F7.0182,No,4,C,11,116,1162,1162,"Cereal, Pasta and Baking Mix Manufacturing"," Manufacture of macaroni, noodles, couscous and similar farinaceous products ",1074,..,ANZSIC-1162,ANZSIC-116,ISIC-1074,Yes,2,1,2,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",,,,,ANZSIC-17,17
117,Bakery Product Manufacturing,,,,F7.0183,Yes,3,C,11,117,..,117,Bakery Product Manufacturing, .. ,..,..,ANZSIC-117,ANZSIC-11,..,No,..,..,1,..,,,,,ANZSIC-170,170
,1171,Bread Manufacturing (Factory based),1061p,Manufacture of grain mill products,F7.0184,Yes,4,C,11,117,1171,1171,Bread Manufacturing (Factory based), Manufacture of grain mill products ,1061,p,ANZSIC-1171,ANZSIC-117,ISIC-1061,Yes,2,3,2,Manufacture of grain mill products,,,,,ANZSIC-1701,1701
,,,1071p,Manufacture of bakery products,F7.0185,No,4,C,11,117,1171,1171,Bread Manufacturing (Factory based), Manufacture of bakery products ,1071,p,ANZSIC-1171,ANZSIC-117,ISIC-1071,Yes,2,6,2,Manufacture of bakery products,,,,,ANZSIC-1709,1709
,1172,Cake and Pastry Manufacturing (Factory based),1071p,Manufacture of bakery products,F7.0186,Yes,4,C,11,117,1172,1172,Cake and Pastry Manufacturing (Factory based), Manufacture of bakery products ,1071,p,ANZSIC-1172,ANZSIC-117,ISIC-1071,Yes,1,6,1,Manufacture of bakery products,,,,,ANZSIC-18,18
,1173,Biscuit Manufacturing (Factory based),1071p,Manufacture of bakery products,F7.0187,Yes,4,C,11,117,1173,1173,Biscuit Manufacturing (Factory based), Manufacture of bakery products ,1071,p,ANZSIC-1173,ANZSIC-117,ISIC-1071,Yes,1,6,1,Manufacture of bakery products,,,,,ANZSIC-181,181
,1174,Bakery Product Manufacturing (Non-factory based),1071p,Manufacture of bakery products,F7.0188,Yes,4,C,11,117,1174,1174,Bakery Product Manufacturing (Non-factory based), Manufacture of bakery products ,1071,p,ANZSIC-1174,ANZSIC-117,ISIC-1071,Yes,1,6,1,Manufacture of bakery products,,,,,ANZSIC-1811,1811
